date,sample,cycle.start,cycle.end
20/12/2020,2,22,44
20/12/2020,1,46,66
20/12/2020,4,69,89
20/12/2020,3,92,112
20/12/2020,5,114,134
20/12/2020,6,137,165
20/12/2020,7,167,187
20/12/2020,10,190,210
22/12/2020,9,31,52
22/12/2020,8,54,74
22/12/2020,7,76,96
23/12/2020,1,8,28
23/12/2020,7,31,51
23/12/2020,7,54,74
23/12/2020,9,77,97
24/12/2020,6,7,28
24/12/2020,6,30,50
24/12/2020,10,52,72
24/12/2020,5,74,95
24/12/2020,3,97,117
24/12/2020,2,119,139
25/12/2020,4,8,29
25/12/2020,10,31,51
25/12/2020,8,52,72
25/12/2020,7,74,94
25/12/2020,7,95,115
25/12/2020,9,117,138
26/12/2020,6,41,61
26/12/2020,6,63,83
26/12/2020,9,85,105
27/12/2020,10,4,24
27/12/2020,2,26,48
27/12/2020,2,50,70
27/12/2020,1,72,90
27/12/2020,3,94,114
27/12/2020,5,116,136
27/12/2020,5,138,159
29/12/2020,8,29,49
29/12/2020,10,51,71
29/12/2020,8,72,92
04/01/2021,9,25,48
04/01/2021,9,51,71
04/01/2021,10,74,94
04/01/2021,8,96,116
04/01/2021,10,127,147
04/01/2021,8,149,169
04/01/2021,1,170,190
04/01/2021,1,192,212
04/01/2021,1,214,234
04/01/2021,2,236,257
04/01/2021,4,258,279
04/01/2021,5,281,301
04/01/2021,5,302,322
04/01/2021,4,324,345
05/01/2021,3,5,25
05/01/2021,3,27,47
05/01/2021,4,49,69
